date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:27	28223/28223	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/search-with-sidebar.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/search-with-sidebar.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:27	27774/27774	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/settings.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/settings.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:28	49531/49531	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/twitter-redesign.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/twitter-redesign.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:30	291745/291745	---M--	200	added ('OK')	image/jpeg	etag:%225ee76e30-473a1%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/sections/pk-pro-cover.jpg	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/sections/pk-pro-cover.jpg	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:32	240110/240110	---M--	200	added ('OK')	image/png	etag:%225ee76e30-3a9ee%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/sections/fog-low.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/sections/fog-low.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:32	27181/27181	---M--	200	added ('OK')	image/png	etag:%225ee76e30-6a2d%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/creative-tim-white-slim2.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/creative-tim-white-slim2.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:35	46574/46574	---M--	200	added ('OK')	image/jpeg	etag:%225ee76e30-b5ee%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/table.jpg	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/table.jpg	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:35	17214/17214	---M--	200	added ('OK')	image/png	etag:%225ee76e30-433e%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/share-btn.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/share-btn.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:36	17427/17427	---M--	200	added ('OK')	image/png	etag:%225ee76e30-4413%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/coloured-card-with-btn.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/coloured-card-with-btn.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:38	17804/17804	---M--	200	added ('OK')	image/png	etag:%225ee76e30-458c%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/pin-btn.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/pin-btn.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:38	560258/560258	---M--	200	added ('OK')	image/png	etag:%225ee76e30-88c82%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/laptop-basic.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/laptop-basic.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:38	9965/9965	---M--	200	added ('OK')	image/png	etag:%225ee76e30-26ed%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/social-row.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/social-row.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:38	12776/12776	---M--	200	added ('OK')	image/png	etag:%225ee76e30-31e8%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/coloured-card.png	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/assets/img/presentation-page/coloured-card.png	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
